instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a15_b10_c40_v4.col,15,10,40,4,341,326,327,0.001331107,38,0.00017309,327,0.00111742
galaxy_a15_b10_c40_v5.col,15,10,40,5,360,345,346,0.001493335,39,0.000178555,346,0.00124781
galaxy_a15_b10_c50_v1.col,15,10,50,1,461,446,447,0.002446847,48,0.000264714,447,0.002115391
galaxy_a15_b10_c50_v2.col,15,10,50,2,465,450,451,0.002484808,50,0.000267415,451,0.00210096
galaxy_a15_b10_c50_v3.col,15,10,50,3,546,531,532,0.003450723,51,0.000357095,532,0.002904598
galaxy_a15_b10_c50_v4.col,15,10,50,4,372,357,358,0.001598734,49,0.000205127,358,0.001336675
galaxy_a15_b10_c50_v5.col,15,10,50,5,497,482,483,0.002861944,51,0.000283361,483,0.002395776
galaxy_a15_b10_c60_v1.col,15,10,60,1,599,584,585,0.004170813,59,0.000417782,585,0.003523968
galaxy_a15_b10_c60_v2.col,15,10,60,2,580,565,566,0.003872743,61,0.000361207,566,0.003301702
galaxy_a15_b10_c60_v3.col,15,10,60,3,510,495,496,0.002976564,60,0.000297517,496,0.002545748
galaxy_a15_b10_c60_v4.col,15,10,60,4,509,494,495,0.003022472,56,0.000304675,495,0.002520689
galaxy_a15_b10_c60_v5.col,15,10,60,5,537,522,523,0.003322776,60,0.000310212,523,0.002822002
galaxy_a15_b10_c70_v1.col,15,10,70,1,487,472,473,0.002712409,67,0.000283411,473,0.002250217
galaxy_a15_b10_c70_v2.col,15,10,70,2,547,532,533,0.003462525,62,0.000362432,533,0.002924618
galaxy_a15_b10_c70_v3.col,15,10,70,3,590,575,576,0.004029968,59,0.000368861,576,0.003409553
galaxy_a15_b10_c70_v4.col,15,10,70,4,674,659,660,0.005293524,71,0.000488489,660,0.004506712
galaxy_a15_b10_c70_v5.col,15,10,70,5,712,697,698,0.005893061,70,0.0005195,698,0.005047414
galaxy_a15_b10_c80_v1.col,15,10,80,1,551,536,537,0.003493527,74,0.000350826,537,0.002938747
galaxy_a15_b10_c80_v2.col,15,10,80,2,694,679,680,0.014832235,76,0.000519074,680,0.004816466
galaxy_a15_b10_c80_v3.col,15,10,80,3,589,574,575,0.003965436,80,0.000372483,575,0.003348024
galaxy_a15_b10_c80_v4.col,15,10,80,4,657,642,643,0.004993412,78,0.000476085,643,0.004242642
galaxy_a15_b10_c80_v5.col,15,10,80,5,832,817,818,0.008023165,81,0.000677118,818,0.006957711
galaxy_a15_b10_c90_v1.col,15,10,90,1,705,690,691,0.005784943,85,0.00052114,691,0.004970323
galaxy_a15_b10_c90_v2.col,15,10,90,2,820,805,806,0.007843308,89,0.000649386,806,0.006818858
galaxy_a15_b10_c90_v3.col,15,10,90,3,782,767,768,0.0071223,83,0.000623015,768,0.006143771
galaxy_a15_b10_c90_v4.col,15,10,90,4,711,696,697,0.005905606,91,0.000546173,697,0.005017527
galaxy_a15_b10_c90_v5.col,15,10,90,5,666,651,652,0.005160834,91,0.000454151,652,0.004375223
galaxy_a20_b10_c100_v1.col,20,10,100,1,1027,1007,1008,0.012252212,95,0.000912526,1008,0.010804352
galaxy_a20_b10_c100_v2.col,20,10,100,2,1192,1172,1173,0.016581662,94,0.001170929,1173,0.014620343
galaxy_a20_b10_c100_v3.col,20,10,100,3,1059,1039,1040,0.013038011,99,0.000985331,1040,0.011516812
galaxy_a20_b10_c100_v4.col,20,10,100,4,1104,1084,1085,0.014703904,94,0.001042544,1085,0.012528211
galaxy_a20_b10_c100_v5.col,20,10,100,5,1189,1169,1170,0.016522924,99,0.001194685,1170,0.014564727
galaxy_a20_b10_c20_v1.col,20,10,20,1,289,269,270,0.000954483,30,0.000134973,270,0.000805268
galaxy_a20_b10_c20_v2.col,20,10,20,2,327,307,308,0.00122326,31,0.000152904,308,0.001037213
galaxy_a20_b10_c20_v3.col,20,10,20,3,318,298,299,0.001205303,30,0.00014412,299,0.000970559
galaxy_a20_b10_c20_v4.col,20,10,20,4,309,289,290,0.001105305,30,0.000136527,290,0.000919655
galaxy_a20_b10_c20_v5.col,20,10,20,5,318,298,299,0.001159651,30,0.000147444,299,0.000965929
galaxy_a20_b10_c30_v1.col,20,10,30,1,391,371,372,0.0017735,31,0.000197062,372,0.001484234
galaxy_a20_b10_c30_v2.col,20,10,30,2,448,428,429,0.00230516,33,0.000234015,429,0.001944384
galaxy_a20_b10_c30_v3.col,20,10,30,3,433,413,414,0.002230228,33,0.00022242,414,0.001796062
galaxy_a20_b10_c30_v4.col,20,10,30,4,429,409,410,0.002102352,32,0.000217176,410,0.001766308
