b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,60,0.27214,0.0157,755,735,3,61.4,20,galaxy_a20_b10_c60_v3.col,0.2449
10,60,0.25309,0.0049,743,723,4,58.6,20,galaxy_a20_b10_c60_v4.col,0.2449
10,60,0.40516,0.1509,678,658,5,60.0,20,galaxy_a20_b10_c60_v5.col,0.0
10,70,0.32115,0.0106,863,843,1,71.0,20,galaxy_a20_b10_c70_v1.col,0.0
10,70,0.18704,0.0029,624,604,2,55.2,20,galaxy_a20_b10_c70_v2.col,0.2
10,70,0.28933,0.001,825,805,3,66.0,20,galaxy_a20_b10_c70_v3.col,0.0
10,70,0.28369,0.001,818,798,4,64.2,20,galaxy_a20_b10_c70_v4.col,0.2
10,70,0.2892,0.0031,819,799,5,63.8,20,galaxy_a20_b10_c70_v5.col,0.2
10,80,0.47431,0.1047,923,903,1,78.0,20,galaxy_a20_b10_c80_v1.col,0.0
10,80,0.34845,0.0068,918,898,2,78.0,20,galaxy_a20_b10_c80_v2.col,0.0
10,80,0.44815,0.0269,1028,1008,3,78.4,20,galaxy_a20_b10_c80_v3.col,0.2449
10,80,0.33602,0.0205,867,847,4,81.0,20,galaxy_a20_b10_c80_v4.col,0.0
10,80,0.40343,0.0121,999,979,5,75.0,20,galaxy_a20_b10_c80_v5.col,0.0
10,90,0.48399,0.0231,1013,993,1,86.0,20,galaxy_a20_b10_c90_v1.col,0.0
10,90,0.60509,0.1382,1017,997,2,91.0,20,galaxy_a20_b10_c90_v2.col,0.0
10,90,0.34863,0.0048,841,821,3,87.0,20,galaxy_a20_b10_c90_v3.col,0.0
10,90,0.4719,0.0016,1028,1008,4,85.0,20,galaxy_a20_b10_c90_v4.col,0.0
10,90,0.44428,0.0041,1063,1043,5,88.0,20,galaxy_a20_b10_c90_v5.col,0.0
10,100,0.8845,0.1504,1373,1348,1,99.0,25,galaxy_a25_b10_c100_v1.col,0.0
10,100,0.76022,0.0071,1480,1455,2,98.0,25,galaxy_a25_b10_c100_v2.col,0.0
10,100,0.86514,0.0046,1574,1549,3,101.2,25,galaxy_a25_b10_c100_v3.col,0.2
10,100,0.91679,0.0047,1630,1605,4,101.0,25,galaxy_a25_b10_c100_v4.col,0.0
10,100,0.88792,0.106,1456,1431,5,97.0,25,galaxy_a25_b10_c100_v5.col,0.0
10,20,0.11096,0.0154,387,362,1,36.0,25,galaxy_a25_b10_c20_v1.col,0.0
10,20,0.10009,0.007,398,373,2,36.0,25,galaxy_a25_b10_c20_v2.col,0.3162
